"State","Year","Total_Births","Nicu_Births","State_Control","Preterm_Births","Ceasarean_Births","Covid_Year","Total.Population","Birth_Rate","PretermBirth_Rate","CBirth_Rate","NICUBirth_Rate"
"Alabama",2016,59151,4791,"Rep",13215,20362,"0",4863300,0.012162729,0.2234112694629,0.344237629118696,0.0809960947405792
"Alabama",2017,58941,4917,"Rep",13347,20679,"0",4874747,0.012091089,0.22644678576882,0.35084236779152,0.0834224054563038
"Alabama",2018,57761,4793,"Rep",13730,20056,"0",4887871,0.0118172104,0.237703640864943,0.3472239054033,0.0829798653070411
"Alabama",2019,58615,5444,"Rep",14301,20268,"0",4903185,0.0119544745,0.243981915891837,0.345781796468481,0.0928772498507208
"Alabama",2020,57647,5589,"Rep",14513,20161,"1",4921532,0.0117132226,0.251756379343244,0.349731989522438,0.0969521397470814
"Alabama",2021,58054,5737,"Rep",15065,20398,"1",5039877,0.0115189319,0.259499776070555,0.351362524546112,0.0988217866124643
"Alabama",2022,58149,5984,"Rep",15520,20037,"1",5074296,0.0114595207,0.266900548590689,0.344580302326781,0.102908046570018
"Alabama",2023,57858,6190,"Rep",15661,19785,"1",5108468,0.0113259004,0.270679940544091,0.341957896920046,0.106986069342183
"Alaska",2016,11209,1022,"Divided",1995,2575,"0",741894,0.0151086274,0.177981978767062,0.229726112944955,0.0911767329824248
"Alaska",2017,10445,987,"Divided",1911,2346,"0",739795,0.0141187761,0.182958353279081,0.224605074198181,0.0944949736716132
"Alaska",2018,10086,987,"Divided",1908,2260,"0",737438,0.013677082,0.189173111243308,0.224072972437041,0.0978584176085663
"Alaska",2019,9822,957,"Rep",1949,2126,"0",731545,0.0134263784,0.198432091223783,0.216452860924455,0.0974343310934637
"Alaska",2020,9469,876,"Rep",1865,2170,"1",731158,0.0129506892,0.196958496145316,0.229168866828599,0.092512408913296
"Alaska",2021,9367,912,"Rep",1991,2264,"1",732673,0.0127846939,0.212554713355397,0.24169958364471,0.0973630831643002
"Alaska",2022,9359,911,"Rep",1947,2125,"1",733583,0.0127579292,0.208035046479325,0.227054172454322,0.097339459343947
"Alaska",2023,9015,917,"Rep",1952,2164,"1",733406,0.0122919638,0.216528008874099,0.240044370493622,0.101719356627842
"Arizona",2016,84520,5838,"Rep",15158,23220,"0",6931071,0.0121943636,0.179342167534311,0.274727875059158,0.0690724088973024
"Arizona",2017,81872,5803,"Rep",15178,21986,"0",7016270,0.0116688782,0.185386945475865,0.268541137385187,0.0708789329685363
"Arizona",2018,80723,6125,"Rep",15677,22199,"0",7171646,0.011255854,0.194207351064752,0.275002167907536,0.0758767637476308
"Arizona",2019,79375,6115,"Rep",15491,22039,"0",7278717,0.0109050812,0.195162204724409,0.277656692913386,0.0770393700787402
"Arizona",2020,76947,6049,"Rep",15264,21870,"1",7421401,0.010368258,0.198370306834574,0.284221607080198,0.0786125514964846
"Arizona",2021,77916,6237,"Rep",16325,22368,"1",7276316,0.0107081661,0.209520509266389,0.287078392114585,0.0800477437240105
"Arizona",2022,78547,5751,"Rep",16327,22489,"1",7359197,0.0106733112,0.20786280825493,0.286312653570474,0.0732173093816441
"Arizona",2023,78096,6136,"Divided",16300,22675,"1",7431344,0.0105090008,0.208717475927064,0.290347777094858,0.0785699651710715
"Arkansa",2016,38274,3215,"Rep",7749,12354,"0",2988248,0.0128081739,0.202461200815175,0.322777864869102,0.083999581961645
"Arkansa",2017,37520,3640,"Rep",7998,12565,"0",3004279,0.0124888534,0.21316631130064,0.334888059701493,0.0970149253731343
"Arkansa",2018,37018,3617,"Rep",8373,12876,"0",3013825,0.0122827304,0.226187260251769,0.347830785023502,0.0977092225403858
"Arkansa",2019,36564,3701,"Rep",8573,12604,"0",3017804,0.012116095,0.234465594573898,0.344710644349633,0.101219779017613
"Arkansa",2020,35251,3424,"Rep",8266,11917,"1",3030522,0.0116319895,0.234489801707753,0.33806133159343,0.0971319962554254
"Arkansa",2021,35965,3354,"Rep",8699,12339,"1",3025891,0.0118857553,0.241874044209648,0.343083553454748,0.0932573335186987
"Arkansa",2022,35471,3321,"Rep",8841,11938,"1",3045637,0.0116464963,0.249245862817513,0.336556623720786,0.0936257788052212
"Arkansa",2023,35264,3877,"Rep",9129,11918,"1",3067732,0.0114951371,0.258875907441016,0.337965063520871,0.109942150635209
"Califor",2016,488827,36051,"Dem",81995,155952,"0",39250017,0.0124541857,0.167738279595849,0.319033113964654,0.0737500178999932
